PurchaseID,UserID,ProductID,Category,SubCategory,Quantity,UnitPrice,PurchaseDate,State,PaymentMethod,Cost,Region,Quarter
962205,4452,Cat-Sub-37,Beauty,Cosmetic,5,62.38,1/1/2021,New Jersey,Credit Card,90.2593505,East,2021Q1
891927,723510,Cat-Sub-1216,Detergent,Laundry,1,55.75,1/1/2021,Illinois,Credit Card,25.83315704,North,2021Q1
579201,549096,Cat-Sub-571,Beauty,Electronics,4,81.58,1/2/2021,North Dakota,Cash,72.11965008,North,2021Q1
902272,896022,Cat-Sub-1783,Beauty,Cosmetic,3,78.41,1/2/2021,North Dakota,Credit Card,69.52822227,North,2021Q1
411077,252749,Cat-Sub-1278,Food,Dry,3,59.82,1/3/2021,Massachusetts,PayPal,104.6817179,East,2021Q1
624805,457252,Cat-Sub-1832,Food,Fresh,5,42.15,1/3/2021,North Carolina,Credit Card,121.1677228,South,2021Q1
268024,399524,Cat-Sub-2101,Detergent,Dishwashing,5,71.13,1/3/2021,Minnesota,Credit Card,167.3688065,North,2021Q1
872289,549096,Cat-Sub-1458,Detergent,Dishwashing,5,7.62,1/4/2021,Alabama,Cash,15.31887068,South,2021Q1
435209,514964,Cat-Sub-224,Beauty,Cosmetic,2,93.38,1/5/2021,Iowa,Cash,41.3171236,North,2021Q1
949024,481595,Cat-Sub-1396,Detergent,Laundry,1,25.06,1/5/2021,Minnesota,PayPal,11.13043474,North,2021Q1
808413,722197,Cat-Sub-1686,Food,Fresh,4,85.48,1/5/2021,Arkansas,Gift Card,172.9264411,South,2021Q1
133134,25374,Cat-Sub-1695,Detergent,Laundry,1,77.25,1/5/2021,West Virginia,Gift Card,36.19495879,South,2021Q1
290938,347858,Cat-Sub-1818,Beauty,Electronics,5,88.85,1/5/2021,Utah,Credit Card,90.65953163,West,2021Q1
645407,451943,Cat-Sub-2000,Food,Dry,2,54.26,1/5/2021,Colorado,Cash,60.29818141,West,2021Q1
442681,764057,Cat-Sub-129,Beauty,Perfume,1,32.53,1/6/2021,Ohio,Cash,8.167763345,North,2021Q1
440175,658128,Cat-Sub-1220,Food,Fresh,3,40.07,1/6/2021,West Virginia,Cash,62.70801899,South,2021Q1
727389,275009,Cat-Sub-1309,Food,Fresh,5,50.45,1/6/2021,Massachusetts,Gift Card,140.911975,East,2021Q1
552506,50246,Cat-Sub-1656,Toys,Educational,2,42.11,1/6/2021,Kansas,Cash,26.84148426,North,2021Q1
330936,171752,Cat-Sub-55,Food,Fresh,2,10.81,1/7/2021,New Mexico,Gift Card,11.88279515,West,2021Q1
232917,270327,Cat-Sub-326,Food,Dry,1,7.18,1/7/2021,Kansas,Gift Card,4.231843598,North,2021Q1
169731,273002,Cat-Sub-477,Food,Dry,4,65.78,1/7/2021,Pennsylvania,Cash,150.3307252,East,2021Q1
521775,514964,Cat-Sub-1148,Food,Dry,4,37.79,1/7/2021,South Dakota,Cash,84.78629401,North,2021Q1
272118,226421,Cat-Sub-1208,Beauty,Cosmetic,3,6.01,1/7/2021,Minnesota,Gift Card,4.212032669,North,2021Q1
739153,294064,Cat-Sub-2052,Toys,Creative,3,12.64,1/7/2021,North Dakota,Cash,11.69148072,North,2021Q1
731020,567485,Cat-Sub-2250,Food,Fresh,4,10.83,1/8/2021,Colorado,Gift Card,22.58225268,West,2021Q1
231178,614499,Cat-Sub-803,Detergent,Cleaning,4,57.3,1/9/2021,Ohio,Cash,92.68898018,North,2021Q1
102758,910039,Cat-Sub-1870,Beauty,Electronics,4,88.25,1/9/2021,Connecticut,Cash,89.01319514,East,2021Q1
84292,138649,Cat-Sub-2150,Food,Fresh,3,45.2,1/9/2021,New Jersey,Gift Card,70.93556497,East,2021Q1
117503,555700,Cat-Sub-30,Beauty,Electronics,2,58.26,1/10/2021,California,Credit Card,26.07781794,West,2021Q1
157227,718190,Cat-Sub-963,Beauty,Cosmetic,2,61.63,1/10/2021,Wyoming,Cash,36.581682,West,2021Q1
694332,451943,Cat-Sub-1729,Beauty,Cosmetic,3,61.31,1/10/2021,West Virginia,Credit Card,36.88794011,South,2021Q1
722780,841303,Cat-Sub-1769,Beauty,Electronics,1,77.2,1/10/2021,Mississippi,Cash,20.61314768,South,2021Q1
326246,428799,Cat-Sub-1839,Beauty,Perfume,5,39.21,1/10/2021,North Dakota,Credit Card,51.29322555,North,2021Q1
689659,39595,Cat-Sub-632,Beauty,Cosmetic,5,44.53,1/11/2021,New Mexico,Gift Card,59.00014617,West,2021Q1
684347,885441,Cat-Sub-1062,Detergent,Laundry,3,80.24,1/11/2021,North Carolina,Cash,107.4135771,South,2021Q1
293406,112343,Cat-Sub-40,Beauty,Perfume,3,5.32,1/12/2021,Massachusetts,Credit Card,3.823323192,East,2021Q1
20094,534078,Cat-Sub-369,Beauty,Perfume,1,8.89,1/12/2021,Ohio,Cash,2.247849461,North,2021Q1
833413,197667,Cat-Sub-527,Food,Dry,4,77.6,1/12/2021,Wyoming,Gift Card,180.4142673,West,2021Q1
974680,626369,Cat-Sub-579,Beauty,Perfume,3,93.22,1/12/2021,New York,Cash,61.70774616,East,2021Q1
832610,837396,Cat-Sub-956,Detergent,Cleaning,3,68.22,1/12/2021,Missouri,Gift Card,89.60285701,North,2021Q1
514353,347858,Cat-Sub-1080,Beauty,Perfume,2,67.42,1/12/2021,Arkansas,Cash,39.96684239,South,2021Q1
363816,486099,Cat-Sub-1852,Detergent,Laundry,3,21.29,1/12/2021,Wyoming,Cash,27.93258142,West,2021Q1
121942,813609,Cat-Sub-2034,Food,Dry,4,89.48,1/12/2021,Utah,Cash,180.0037565,West,2021Q1
832327,910039,Cat-Sub-2128,Food,Dry,3,85.16,1/12/2021,Mississippi,Credit Card,146.5210841,South,2021Q1
4850,969521,Cat-Sub-1162,Beauty,Cosmetic,3,35.9,1/13/2021,Rhode Island,Credit Card,24.35086097,East,2021Q1
922387,909473,Cat-Sub-1737,Beauty,Perfume,3,48.04,1/13/2021,New Jersey,Gift Card,32.19429387,East,2021Q1
570982,982295,Cat-Sub-2206,Food,Dry,4,86.6,1/13/2021,Tennessee,Cash,180.6523905,South,2021Q1
936573,523560,Cat-Sub-696,Beauty,Cosmetic,4,54.72,1/14/2021,Colorado,Gift Card,50.14662287,West,2021Q1
879312,667653,Cat-Sub-880,Beauty,Cosmetic,4,35.23,1/14/2021,Maryland,Cash,30.34510774,South,2021Q1
745511,398495,Cat-Sub-1173,Beauty,Perfume,2,90.81,1/14/2021,Wisconsin,Gift Card,53.0262008,North,2021Q1
237466,592021,Cat-Sub-1803,Detergent,Dishwashing,2,16.79,1/14/2021,North Dakota,Credit Card,13.7591382,North,2021Q1
552404,251619,Cat-Sub-210,Beauty,Cosmetic,2,74.71,1/15/2021,Kansas,Cash,39.77758881,North,2021Q1
434926,452504,Cat-Sub-678,Beauty,Perfume,1,94.01,1/15/2021,California,Cash,23.54969831,West,2021Q1
